Bedriftsnavn;Adresse;Postnummer;Poststed;Godkjenninger;Organisasjonsnummer
Bilsenteret Bjugn AS;Bjørg Bergs vei 4;7160;Bjugn;BILVERKSTED01, KONTROLLORGAN01;984114117
Vianor AS avd. Hamar;Midtstranda 77;2321;HAMAR;BILVERKSTED01, KONTROLLORGAN01;935429447
Bilservice Frosta AS;Juberg, Frosta;7633;FROSTA;BILVERKSTED01B, KONTROLLORGAN01B;913433548
Nordkapp Renovasjon AS avd. Auto; Nordkappveien 14B;9750;HONNINGSVÅG;BILVERKSTED01, KONTROLLORGAN01;979703090
NYGÅRDS DEKKSERVICE;ÅSEVIKA;6141;ROVDE;HJUL;987576049
MAGNUS MOTOR A/S;Strykerveien 7;1658;TORP;BILVERKSTED01B, KONTROLLORGAN01B;980909816
Tynset Bil & Mc AS;Elvegata 9A;2500;Tynset;BILVERKSTED01, MOTORSYKKELOGMOPED;983469272
STEINSPRUTEN BILGLASS AS avd Drammen;Teglverksveien 15B;3401;LIER;BILGLASS;997719670
DELTA BILGLASS AS;RASET 54;3735;SKIEN;BILGLASS;920062075
Høiden MC-Senter AS;Ryggeveien 121;1570;DILLING;MOTORSYKKELOGMOPED;912824381
US Car Clinic AS;Østre Rosten 4C;7075;TILLER;BILVERKSTED01B, KONTROLLORGAN01B;881240262
Vianor Vinje;Verkstadvegen 1;3890;Ytre Vinje;FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04;935429447
Iveco Norge A/S;Holmaveien  50;1339;VØYENENGA;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04;934621328
CARGLASS AS avd. Forus;Røynebergsletta 1;4033;STAVANGER;BILGLASS;985758220
HOFMAN AUTO AS;KONGSVINGERVEGEN 1878;2160;VORMSUND;BILVERKSTED01;896547682
Tjøme Bil & Motor AS;Østveien 532;3145;TJØME;BILVERKSTED01, KONTROLLORGAN01;991064990
RIIS MONTASJE AS avd. Gol;Sentrumsveien 18;3550;GOL;BILGLASS;921979436
STORDAL AUTOSENTER A.S.;Torvlia 3;1739;Borgenhaugen;BILVERKSTED01B, KONTROLLORGAN01B;962383882
MOTOR-TEAM AS;STEINSRUDVEGEN 14;3840;SELJORD;HJUL;912125629
DEKKMANN AS;Hovejordet 20;2624;LILLEHAMMER;HJUL;966242825
ØSTFOLD BILAUKSJON AS;Gramveien 2;1832;Askim;BILVERKSTED01, KONTROLLORGAN01;935267447
OSLO BILGLASS AS;Bedriftsveien 6;950;OSLO;BILGLASS;989140523
Tau Auto A/S;Ryfylkevegen 1970;4120;Tau;BILVERKSTED01B, KONTROLLORGAN01B;914628385
NILSEN BILSKADE AS;KLEPPVEGEN 371;4053;RÆGE;BILSKADE;999555519
Møller Bil Hedmark AS avd. Møller Bil Tynset;Elfengveien 2;2500;Tynset;BILVERKSTED01, KONTROLLORGAN01;976951336
Nyenget mekaniske verksted A/S;Gråmyra;7608;LEVANGER;PABYGGER, TRAKTOR;929012887
CHRISTENSEN BILLAKKERING;HANS HANSENS VEI 133;3022;DRAMMEN;BILGLASS;988810568
HANDICARE AS;Fabrikkveien9;4033;STAVANGER;PABYGGER;965395830
Haukås Bilverksted AS;Tittelsnesvegen 595;5550;SVEIO;BILVERKSTED01B, KONTROLLORGAN01B;990414653
GLASSMESTER ERLING ERIKSEN AS;TERMINALGATA 114;9019;TROMSØ;BILGLASS;989695061
MESNA AUTO ;Storgt.84;2390;Moelv;BILVERKSTED01B, KONTROLLORGAN01B;985636931
FLY AND SHINE DRIFT AS;Flyplassvegen 310;4055;SOLA;KONTROLLORGAN01;919084774
AUTO NOR AS;Søvikveien 61;8804;SANDNESSJØEN;BILVERKSTEDALLE, KONTROLLORGAN01, BILVERKSTED01;999529429
DEKKSERVICE KVINESDAL AS, Avd. Flekkefjord;Trøngsla 3;4400;FLEKKEFJORD;HJUL;996288897
Rolvsøy Bilverksted Arne Wiese-Hansen;Sivløkka 8;1664;Rolvsøy;BILVERKSTED01;957696120
ASAP DEAL AS;PLATTFORMVEIEN 2;4056;TANANGER;HJUL;997638611
Avaldsnes Auto Senter;Øygarden 50;4262;Avaldsnes;BILSKADE;855759772
Samnøy Auto a/s;Postboks 4;3166;Tolvsrød;BILVERKSTED01, KONTROLLORGAN01;975961591
NH BILVERKSTED AS;ØRAN ØST;6300;ÅNDALSNES;BILVERKSTED01B, KONTROLLORGAN01B;921882610
Grjotheim Maskin AS, Eik Senteret Bjørkelangen;Østre Blixrudveien 1;1940;BJØRKELANGEN;TRAKTOR;934938852
BODØ GLASS & RAMME AS;TERMINALVEIEN 14;8006;BODØ;BILGLASS;976548124
CARGLASS AS;Smalvollveien 58;667;OSLO;BILGLASS;985758220
Evensen Bil AS;LØKKVEIEN 3;7530;MERÅKER;BILVERKSTED01B, BILSKADE, KONTROLLORGAN01;978650848
Gundersens Autoservice;Sandbakken 6;2413;ELVERUM;BILVERKSTED01;971130652
HIAB NORWAY AS;CARL BERGERSENS VEI 5;1481;HAGAN;PABYGGER;912799239
BIL & DEKK SERVICE AS;TUNELLVEIEN 4 A;9912;HESSENG;HJUL;983167640
Tømra Bilverksted AS;Tømra;7584;SELBUSTRAND;BILVERKSTED01B, KONTROLLORGAN01B;995357828
HANSHUS BIL;Hanshus;7288;SOKNEDAL;BILVERKSTED01, KONTROLLORGAN01;985642508
FLØTRE MASKIN AS;FJELLVEGEN 22;6826;BYRKJELO;TRAKTOR;997721977
ÅLESUND BILVASK AS;TVERRVEGEN 34;6020;ÅLESUND;HJUL;917727430
Auto & Dekkservice A/S;Olav V gate 104;8004;BODØ;BILVERKSTED01, KONTROLLORGAN01;974442566
PM MOTOR AS;KOLSTIEN 2;5097;BERGEN;MOTORSYKKELOGMOPED;992646551
Hunndalen Auto AS;Agmund Holes veg 2b;2827;HUNNDALEN;BILVERKSTED01, KONTROLLORGAN01;899221222
Auto 8-8 Sildnes & Halaas AS;Rørgata 4;6517;Kristiansund N.;BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B;919687304
LINDBERG MOTOR AS;ST. HALVARDS GATE 71;657;OSLO;BILVERKSTED01;919277912
BUSKERUD ANTIRUST AS;ØVRE EIKERVEI 83A;3048;DRAMMEN;HJUL;918342931
Bilskadereperatøren;Tornes;6443;Tornes;BILSKADE;983450458
Servicesenteret Finnsnes AS;Storgata 49;9300;FINNSNES;BILVERKSTED01, KONTROLLORGAN01;989617834
Lier Bilservice as;Modumveien 27;3410;SYLLING;BILVERKSTED01, KONTROLLORGAN01;983747884
IPS SERVICE AS;Berghagan 5;1405;LANGHUS;BILVERKSTED03, KONTROLLORGAN04;915407390
BILUTSTYR NOR AS;ST OLAVS GATE 147;9407;HARSTAD;HJUL;918326707
BIL I NORD HELGELAND AS;Steinbekkhaugveien 15;8610;Mo i Rana;BILVERKSTED01, KONTROLLORGAN01;983666280
KW MC & MASKINERINGSTEKNIKK DA;Tøråskvernvegen 63;2436;VÅLER I SOLØR;MOTORSYKKELOGMOPED;983936474
PANORAMA AUTO VERKSTED AS;FLOODMYRVEGEN 14;3946;PORSGRUNN;BILVERKSTED01, KONTROLLORGAN01;919001623
Ryds Bilglass AS avd. Tønsberg;Måkeveien 2B;3112;TØNSBERG;BILGLASS;913387783
Dokka Bilco AS;Jevnakervegen 21;2870;DOKKA;KONTROLLORGAN01, BILVERKSTED01, MOTORSYKKELOGMOPED;864301002
RASTA GLASS AS;EIDSKOGVEGEN 46;2211;KONGSVINGER;BILGLASS;939357777
NORDLAND MASKINSENTER AS;SNEVEIEN 13;8072;BODØ;TRAKTOR;818417322
BCB Bil og Deler AS;Strandvegen 16;2380;BRUMUNDDAL;BILVERKSTED01B, MOTORSYKKELOGMOPED, BILSKADE, KONTROLLORGAN01B;974535629
DRAMMEN GUMMISERVICE A/S;TORDENSKIODSGT. 74;3003;DRAMMEN;BILVERKSTED01, KONTROLLORGAN01;978633919
DEKKMESTEREN AS avd. Kalbakken;STÅLFJÆRA 1;975;OSLO;HJUL;999325882
Tunga Bil AS;Tungasletta 10;7047;TRONDHEIM;BILVERKSTED01, KONTROLLORGAN01;914548292
Sentrum Auto AS;Prinsensgate 8;3211;SANDEFJORD;BILVERKSTED01, KONTROLLORGAN01;930549215
Bavaria Sør, Kristiansand AS;Barstølveien 32;4636;KRISTIANSAND S;BILVERKSTED01, KONTROLLORGAN01;984146930
JAKOBSEN BILVERKSTED;Juvikveien 24;8640;Hemnesberget;BILVERKSTED01;954980820
Termo Senter AS;Varabergmyra 3;4051;SOLA;PABYGGER;985768625
Kopervik Auto AS;Stølebuktvn 43;4250;KOPERVIK;BILVERKSTED01B, KONTROLLORGAN01B;938234973
NOTODDEN BILGLASS AS;SEMSVEIEN 36;3673;NOTODDEN;BILGLASS;995159104
Østbyen Bil og Karosseri A/S;Brusdalsvn. 244;6011;ÅLESUND;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;984144644
DEKKMANN AS avd. Bodø;Olav 5 gt 110;8004;BODØ;HJUL;966242825
MOBILE SOLUM AS;Løkka 21;3271;LARVIK;BILVERKSTED01, KONTROLLORGAN01;981120736
Felleskjøpet Agri SA;Møllevegen 10;3800;BØ I TELEMARK;TRAKTOR;911608103
NAMSEN AUTO TRONDHEIM AS;ØYSANDVEGEN 239;7224;MELHUS;BILVERKSTED01B, KONTROLLORGAN01B;915912478
Arne Wangen AS;Storgata 59;2830;RAUFOSS;BILVERKSTED01, KONTROLLORGAN01;932211750
PIT STOP AUTOSHOP ;VERKSEIER FURULUNDSVEI 43;668;OSLO;BILVERKSTED01;994423673
AUTOMOBILHALLEN AS;Nedre Hagaveg 724;2150;ÅRNES;BILVERKSTED01, KONTROLLORGAN01;918928545
Bjørn Torp AS (Glenne Karosseri) ;Båstadlundveien 5;1781;HALDEN;BILSKADE;886561792
Transrep AS;Haraldrudveien 22;581;OSLO;PABYGGER;984937482
DEKK1 AS avd. Ensjø;Gladengveien 16;661;OSLO;HJUL;979579292
Tide Verksted AS avd Mannsverk;Natlandsveien 89;5094;BERGEN;FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04;985538220
VIGANESET SERVICESENTER AS;VIGANESET 76;4130;HJELMELAND;TRAKTOR, BILVERKSTED01B, KONTROLLORGAN01B;998327431
Enviro Bil Nesbru AS ;Nesbruveien 84;1394;NESBRU;BILVERKSTED01, KONTROLLORGAN01;993276065
Krangnes Motor;Lade Alle 4;7041;TRONDHEIM;MOTORSYKKELOGMOPED;958749686
BILTEKNO AS;TVETENVEIEN 4;661;OSLO;ALKOLASVERKSTED;995562170
Bryne Autosalg AS;Jærvegen 160;4344;BRYNE;BILVERKSTED01, KONTROLLORGAN01;991386831
Østerås Bilsenter AS;Grini Næringspark 1;1361;ØSTERÅS;BILVERKSTED01, KONTROLLORGAN01;973053965
Øksnes Bil & Maskin AS;Storgt. 53;8430;Myre;BILVERKSTED01B, KONTROLLORGAN01B;951710814
NORD SERVICE OG DEKK AS;Årvollskogen 103;1529;MOSS;BILVERKSTED01;919214791
Chr. Repstad`s Sønner A/S;Arendalsveien 74;4878;Grimstad;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;933852407
Vegårshei Bil;Vegerstøl;4985;Vegårshei;BILSKADE;978697437
VIANOR AS;Numedalsveien;3617;KONGSBERG;HJUL;935429447
Trondsen Bil AS;Håndverkervegen 4A;9018;TROMSØ;BILVERKSTED01B, KONTROLLORGAN01B;981039998
Biltunet Voss AS;Storrviki 2;5701;Voss;BILVERKSTED01B, KONTROLLORGAN01B;985281726
Narvik videregående skole, studiested Oscarborg;Dronningensgate 68;8514;Narvik;BILVERKSTED01, KONTROLLORGAN01;974041707
HAVN AUTO AS;EIKEFJORD;6940;EIKEFJORD;BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01;979431317
CARFIX FITJAR AS; Fitjar Sentrum;5419;FITJAR;BILVERKSTED01, KONTROLLORGAN01;979595395
AMP Auto Tuning DA;Vestmarkavegen 981;2233;VESTMARKA;BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01;992054298
LAVIK DEKK SERVICE GALIP COSKUN;LAVIK;6947;LAVIK;HJUL;994852701
Tyssedal Bilservice;Skjeggedalsvegen 2;5770;TYSSEDAL;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;933502244
Stathelle Auto A/S;Dronning Margrethesvei 3;3960;STATHELLE;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;984152329
ROAN LANDBRUKSSERVICE ROALD ANDERSEN;Hauknes;7194;BRANDSFJORD;LYSUTSTYR, HJUL;855262282
Runes Autoverksted AS;INDUSTRIVEIEN 13;1400;SKI;KONTROLLORGAN01B, BILVERKSTED01B;919893613
RAMSTAD LASTEBILSERVICE A/S;Ramstadløkka 5;1850;MYSEN;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04;961685818
BERTEL O. STEEN ØSTFOLD AS;Dikeveien 1;1661;ROLVSØY;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04;915281168
AGC AUTO VERKSTED RADOMIR WOJCIECH MAZUR;HARDANGERVEGEN 525;5268;HAUKELAND;BILVERKSTED01;918751696
HØISTAD BILDELER AS;MOAVEGEN 31;2619;LILLEHAMMER;BILGLASS;981015142
Monsterbike AS;Kobbervikdalen 93 B;3036;DRAMMEN;MOTORSYKKELOGMOPED;988809012
BILBYEN SKADESENTER FINNSNES AS;BOTNHÅGVEIEN 31;9308;FINNSNES;BILSKADE;919638877
Olas Bil AS;Rødkleivveien 50;4262;AVALDSNES;BILVERKSTED01, BILSKADE;965008853
Volmax AS, avd. Vikersund;Geithusveien 69;3370;VIKERSUND;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04;984674104
DEKKSPESIALISTEN SANDEFJORD AS;NYGÅRDSVEIEN 80;3221;SANDEFJORD;HJUL;914723671
K BOLIG AS;Grannesgaten 34;5523;HAUGESUND;HENGERESPALOPSBREMSEANLEGG;913298446
Herefoss Bruk AS;Stasjonsbyen 53;4766;Herefoss;BILVERKSTEDALLE, KONTROLLORGAN01B, TRAKTOR;852596562
Indre Arna Biloppretting as;Storaneset 43;5260;INDRE ARNA;BILSKADE;961117526
Hølonda Auto AS;Oddhaugen 15-17;7212;KORSVEGEN;BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B;988348821
Øya Biltekniske AS;Øyfjellgt. 3;8656;Mosjøen;BILVERKSTED01B, KONTROLLORGAN01B;992403446
Lundberg Bilservice AS;RUSTAHØGDVEIEN 22;9325;BARDUFOSS;BILVERKSTED01B, KONTROLLORGAN01B;981407997
ALNA BILSERVICE AS;STRØMSVEIEN 230;668;OSLO;BILVERKSTED01;920874657
TESLA MOTORS NORWAY AS AVD BERGEN 2 - KOKSTAD;Kokstaddalen 18;5257;KOKSTAD;BILVERKSTED01;917303444
TYRIFJORD BIL AS;BYGG 33;3512;HØNEFOSS;BILVERKSTED01, KONTROLLORGAN01B;917103607
PS Servicesenter AS Avd BG;Midtstranda;2307;HAMAR;BILVERKSTED01;985072000
NAF Senter Molde ;Gammelseterlia 9;6422;Molde;KONTROLLORGAN01;987372540
DRAMMEN BILSKADE A/S;AABYSGT. 6;3041;DRAMMEN;BILSKADE, BILVERKSTED01;915602487
LINAS ARMALIS;KREGNESVEGEN 116;7228;KVÅL;BILVERKSTED01;917720584
Volvo Truck Center Gjøvik;Lilleengveien 15;2827;HUNNDALEN;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04, ALKOLASVERKSTED;910712799
Haugen Bilrep og service AS;Skjærvaveien 20;1466;STRØMMEN;BILVERKSTED01, KONTROLLORGAN01;998657970
Nyberg´s Karosseri og Bilservice;Kurlandsveien 54;2006;LØVENSTAD;BILVERKSTED01, BILSKADE;953448424
Sele Auto A/S;Selevegen 4;4354;VOLL;BILVERKSTED01, KONTROLLORGAN01, KONTROLLORGAN01B, BILVERKSTED01B;985054568
OSLO MEK AS;ST. HALVARDS GATE 33F;192;OSLO;BILVERKSTED01, KONTROLLORGAN01;918710736
SVENDSEN EKSOS SKIEN AS;BEDRIFTSVEGEN 42;3735;SKIEN;EKSOSANLEGG;980416534
DEKKSTRA BERGEN AS;EIDSVÅGVEIEN 150;5105;EIDSVÅG I ÅSANE;HJUL;919923679
NORDBY BILVERKSTED AS;Haugenveien 27;1400;SKI;KONTROLLORGAN01, BILVERKSTED01, BILGLASS;921066767
Elite Bil AS;Storgata 79;2830;RAUFOSS;BILVERKSTED01, KONTROLLORGAN01;991977031
Fron Traktor Service AS;Rustevegen 170;2640;VINSTRA;TRAKTOR;987228571
ROLF G SKJÆVELAND AS;O.G. KVERNELANDS VEG 13;4355;KVERNALAND;HJUL;979611358
Toyota Sogn AS;SKARPETEIGVEGEN 1 ;6854;KAUPANGER;BILVERKSTED01B, KONTROLLORGAN01B;971158565
Nygård Bil AS;Strandgata 14;3340;Åmot;BILVERKSTED01, KONTROLLORGAN01;979512945
MYRE BILSERVICE AS;Storgata 58;8430;MYRE;HJUL;928153894
Lena Maskin AS, avd. Våler;Eidsvegen 154;2436;VÅLER I SOLØR;TRAKTOR;941263003
KVEEN AS;Hegrevegen 15;6781;STRYN;BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04;929485467
Ø.A. KANESTRØM MEK. VERKSTED;Straumsnesvegen 614;6674;KVISVIK;HJUL;975354482
Grim Maskin Service AS avd. Jessheim;Industrivegen 28;2069;JESSHEIM;HENGERESPALOPSBREMSEANLEGG, LYSUTSTYR;983064957
HÆHRE & ISACHSEN VERKSTED AS;Heggenveien 30;3370;VIKERSUND;BILVERKSTED03;934176472
AASEN BILDEMONTERING AS;Brandalsvegen 381;6062;BRANDAL;HJUL;971096764
Ulf Øverbye A/S;Gardermovegen 13;2050;JESSHEIM;MOTORSYKKELOGMOPED;918529810
FORSVARET, FLO Verksted Værnes;Værnes Garnison, Bygg 188;7502;STJØRDAL;BILVERKSTED01B;986105174
LURA AUTO SERVICE AS;Luramyrveien 21;4313;SANDNES;BILVERKSTED01, KONTROLLORGAN01;916100132
DEKKTEAM AS avd Lillehammer;Strandpromenaden 70;2609;LILLEHAMMER;BILVERKSTED01, KONTROLLORGAN01;870897332
KROSBY AUTO AS;OSLOVEIEN 214;1815;ASKIM;BILVERKSTED01, KONTROLLORGAN01;920948758
Bogøy bil og landbruksverksted;Bogøy;8288;Bogøy;KONTROLLORGAN01B, BILVERKSTED03, TRAKTOR, HJUL, BILVERKSTED02, BILVERKSTED01;974470780
EASYDEKK AS;;6460;EIDSVÅG I ROMSDAL;HJUL, BILSKADE;916179340
Peter Brauten Namsos AS;Akslavegen 1;7820;Spillum;BILVERKSTED01B, KONTROLLORGAN01B;981415086
Nordic Last & Buss AS avd. Bodø;Munnarvollvn.3;8001;BODØ;FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04;979463332
OTTO  MOE AS AVD GRONG;Medjåvegen;7870;Grong;BILVERKSTED01, KONTROLLORGAN01;916125844
AKERSHUS TRAKTOR A/S;Verkstedveien 2;3516;HØNEFOSS;TRAKTOR;947340204
Motorforum Fredrikstad AS;Stabburveien 5;1617;FREDRIKSTAD;BILVERKSTED01, KONTROLLORGAN01, BILSKADE;979212887
Landbruksteknikk AS;Osmarka;6638;OSMARKA;TRAKTOR;955722604
Løvdal Auto AS;Sletterød;4823;NEDENES;BILVERKSTED01, KONTROLLORGAN01;987191872
Auto S Notodden AS;SEMSVEGEN 78;3676;NOTODDEN;BILSKADE;996662128
Granrud Bilverksted AS;Plassen Industriområde;2560;Alvdal;BILVERKSTED01, KONTROLLORGAN01;933917851
Autoline Meråker AS;Stormyra;7530;MERÅKER;BILVERKSTED01B, KONTROLLORGAN01B;916375727
Autostrada Porsgrunn AS;Vallemyrveien 36;3915;PORSGRUNN;BILVERKSTED01, KONTROLLORGAN01, BILSKADE;980670678
Krogstad Auto AS;Ausa;7580;SELBU;BILSKADE;997089650
Christoffersen & Bekken AS;Smalvollveien 16;667;OSLO;KONTROLLORGAN01, BILVERKSTED01;911071614
Bertel O. Steen Østfold as;Dikeveien;1661;Rolvsøy;BILVERKSTED01, KONTROLLORGAN01;915281168
BILGLASSGRUPPEN AS;HVAMSVINGEN 26;2013;SKJETTEN;BILGLASS;926980890
WANG KAROSSERI OG ANTIRUST AS;ØSTRE TOTENVEG 3;2816;GJØVIK;BILSKADE;999643299
ILADEKK SENTER DA;SNARØYVEIEN 73;1364;FORNEBU;KONTROLLORGAN01, BILVERKSTED01;916339453
Mobakk Bil & Service AS;Vålerstuen 2;2436;Våler i Solør;BILVERKSTED01B, KONTROLLORGAN01;985701598
Vestfossen Bil Og Karosseri;Bruksgata 21 ;3320;VESTFOSSEN;BILVERKSTED01B, BILSKADE;977241189
REVETAL GLASSERVICE AS;EKORNSTIEN 14;3174;REVETAL;BILGLASS;960167856
TJØME MOTORVERKSTED AS;ØSTVEIEN 527;3145;TJØME;BILVERKSTED01, KONTROLLORGAN01;915666302
STENEBRÅTEN-BIL AS;Mosseveien 13;1610;FREDRIKSTAD;BILSKADE;996501442
DEKK OG DELER AS avd. Arna;Arnatveitvegen 137;5262;ARNATVEIT;HJUL;996430022
AUTOPRO MOSJØEN AS;Solbakkgata 31;8663;Mosjøen;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;975341496
Norsk Kjøretøykontroll AS;Ulefossvn. 20;3730;SKIEN;KONTROLLORGAN01;984129033
Bjørnars Auto Bjørnar B Bull;Grunnfjord;9130;Hansnes;BILVERKSTED01, KONTROLLORGAN01;974494310
Raufoss Bil & Motor AS;Storgata 69;2830;Raufoss;BILVERKSTED01, KONTROLLORGAN01;987112859
Toyota Voss ;Tjukkebygdvegen 9;5706;VOSS;BILVERKSTED01, KONTROLLORGAN01;839280882
Ølve Bilsenter AS;Ølvesvegen 690;5637;ØLVE;BILVERKSTED01B, KONTROLLORGAN01B;950343478
Porsche Center Stavanger AS;Fabrikkveien 41;4067;STAVANGER;BILVERKSTED01, KONTROLLORGAN01;989930877
Brovold Verksted AS;Vestringsveien 1;2651;ØSTRE GAUSDAL;BILVERKSTEDALLE, KONTROLLORGAN01;998539420
IVAR NERVIK AS;Idrettsvn. 4 B;7072;HEIMDAL;BILVERKSTED01, BILSKADE;970246185
Seljord Bil AS Skadesenter;Vallar;3840;Seljord;BILSKADE;963504446
SOLBAKKEN BLIKK AS;KONGLEVEIEN 13A;4326;SANDNES;HJUL;917629242
Autospeed AS;Ringvegen 13;9018;TROMSØ;KONTROLLORGAN01B, BILVERKSTED01B;983879314
LASSES EIENDOM AS;GUNNAR SCHJELDRUPSV 11A;6723;SVELGEN;HJUL;959928045
Felleskjøpet Rogaland Agder, avd Haugesund;Industrigata 4;5537;HAUGESUND;TRAKTOR;915442552
Bil i Nord AS avd. Leknes;Idrettsgata 33;8370;LEKNES;BILVERKSTED01, KONTROLLORGAN01;983666280
VIKAN BIL AS;MAGNUS LAGABØTESVEI 4;7047;TRONDHEIM;BILVERKSTED01;912470121
Lillestrøm Bilservice AS;Odalsgata 29;2000;LILLESTRØM;BILVERKSTED01, KONTROLLORGAN01;997986008
Nye Jevnaker Bilverksted AS;Glassverkveien. 25;3520;JEVNAKER;BILVERKSTED01, KONTROLLORGAN01;988029203
SAMUELSEN MASKIN AS;MALMEFJORDEN;6445;MALMEFJORDEN;HJUL;935983231
DEKK1 AS avd Vare & Last Oslo;Strømsveien 320;1081;OSLO;HJUL, HENGERESPALOPSBREMSEANLEGG;979579292
Auto`n AS;Osenveien 44;7740;STEINSDALEN;BILVERKSTED01, KONTROLLORGAN01;987658312
HØNEFOSS BIL AS;DRONNING ÅSTASGT. 18;3511;HØNEFOSS;BILVERKSTED01, KONTROLLORGAN01;978704182
Volvo Norge AS, Volvo Truck Center, avd. Rud;Baker Østbys vei 20;1351;RUD;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04;910712799
A/S Slitu Karosseriverksted;Ultvedtveien 306;1859;Slitu;BILSKADE;989136143
Wist Last og Buss AS;Fannestrandsvegen 51 b;6416;Molde;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04, ALKOLASVERKSTED;958315120
Bjerkvik Tekniske Verksted, Osmarka;Lensmannsparten 61;8534;Liland;BILVERKSTEDALLE;988567388
Ihle Bilverksted AS;Ihlevegen 309;2846;BØVERBRU;BILVERKSTED01, KONTROLLORGAN01;985964491
Norheimsund Servicesenter AS;Hardangerfjordvegen 63;5600;NORHEIMSUND;BILVERKSTED01, KONTROLLORGAN01;982830478
WANG AS;ØYFJELLGATA 3;8656;MOSJØEN;HJUL;959337381
Hesseng Bil AS;Tunellveien 6;9912;HESSENG;BILVERKSTED01B, KONTROLLORGAN01B, MOTORSYKKELOGMOPED;986694676
HTS MOSJØEN AS;INDUSTRIVEGEN 10;8657;MOSJØEN;BILVERKSTED01B, KONTROLLORGAN01B;916005482
Nils Wathne Auto AS, avd. personbil  ;Spannavegen 149;5535;Haugesund;BILVERKSTED01B, KONTROLLORGAN01B;965633782
Drangedal Bilruter AS avd. verksted;Rallarvegen 4;3750;DRANGEDAL;BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04, TRAKTOR;994057383
LIEDS VERKTØY AS;BLINDHEIMSGEILANE 1;6010;ÅLESUND;MOTORSYKKELOGMOPED;952294237
Torsbudalen Bilelektro AS;Molandsveien 60;4846;Arendal;BILVERKSTED01, KONTROLLORGAN01;988320285
Svalbard Auto AS;Sjøområdet;9170;LONGYEARBYEN;BILVERKSTED01B;979970757
AASE LANDBRUK AS;KVÅLVEIEN 6;4323;SANDNES;TRAKTOR;959980454
LIER TRAKTOR A/S;Øvre Eikervei 75;3048;DRAMMEN;BILVERKSTED01, KONTROLLORGAN01;935041511
RIPLE Bil AS;Nygårdsgt 23-27;5015;BERGEN;BILVERKSTED01B, KONTROLLORGAN01B;861801772
Horten Auto Service;Storgt. 74;3182;Horten;BILVERKSTED01;950196491
HØYLANDET AUTO AS RØRVIK;Nyvegen 32;7900;Rørvik;BILVERKSTED01B, KONTROLLORGAN01B;987739231
HORTEN BILGLASS AS;TOMTEGATA 4;3183;HORTEN;BILGLASS;994853147
S.Tronsli Bil & Karosseri AS;Alvdal;2560;Alvdal;BILVERKSTED01B, MOTORSYKKELOGMOPED, KONTROLLORGAN01B, BILSKADE;951735892
HØIEN SERVICESENTER AS;HAUKLANDSV. 22;4460;MOI;HJUL;964121966
Sannidal Auto AS;Sannidalsveien 180;3766;SANNIDAL;BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN01, KONTROLLORGAN04;979367201
Willys Verksted AS;Nedre Øyra 7a;8514;NARVIK;BILVERKSTED01;979433395
Forus Bilskade AS;Boganesveien 54;4020;STAVANGER;BILVERKSTED01, BILSKADE, KONTROLLORGAN01, MOTORSYKKELOGMOPED;993057339
SIMON HOGSTAD BILGLASS AS;SANDSVÆRVEIEN 114;3616;KONGSBERG;BILGLASS;999314821
VEGGLI BIL OG FRITID AS;NUMEDALSVEGEN 5820;3628;VEGGLI;KONTROLLORGAN01, BILVERKSTED01;916482361
Asfalt & Betongmaskiner AS;Heggstadmoen 1;7472;TRONDHEIM;PABYGGER;939072616
RSA BIL Kristiansand;Barstølveien 30, Pb 9235 Sørlandsparken;4697;KRISTIANSAND S;BILVERKSTED01B, KONTROLLORGAN01B;915518389
Peder Orø Skar;Skar;6628;MEISINGSET;BILVERKSTED01B, MOTORSYKKELOGMOPED, KONTROLLORGAN01B, BILVERKSTED01;969857316
